_id,Proj ID,Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future,OC_Existing,OC_FY,OC_Future,Grant_Existing,Grant_FY,Grant_Future,GO_Expended,Capital_Year_0,CapitalYear_1,Capital_Year_25,OC_Expended,OC_Year_0,OC_Year_1,OCYear_25,Grant_Expended,Grant_Year_0,Grant_Year_1,GrantYear_25,External_Funds,Total_Project_Budget
28,CLD24520,Boston Public Library,Fields Corner Branch Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Construction,Dorchester,30900000,0,0,0,0,0,0,0,0,2938403,20000000,3000000,4961597,0,0,0,0,0,0,0,0,0,30900000
29,CLD25103,Boston Public Library,Hyde Park Branch Library,"Upgrade boiler, windows, roof, and façade repairs. Assess space programming.",Public Facilities Department,To Be Scheduled,Hyde Park,500000,0,0,0,0,0,0,0,0,82569,0,0,417431,0,0,0,0,0,0,0,0,0,500000
30,CLD24764,Boston Public Library,South End Branch Library,Design and reconstruct the South End Branch of the Public Library.,Public Facilities Department,In Design,South End,32650000,0,0,0,0,0,0,0,0,1097121,750000,1000000,29802879,0,0,0,0,0,0,0,0,0,32650000
31,CLD24894,Boston Public Library,Upham's Corner Library,Design and construct a new branch library that supports the needs of the neighborhood and reflects the Boston Public Library's Compass Principles.,Public Facilities Department,In Design,Dorchester,32000000,0,0,0,0,0,0,0,0,288247,500000,500000,30711753,0,0,0,0,0,0,0,0,0,32000000
32,CLD25101,Boston Public Library,West End Branch Library,Design and construct a new branch library. Develop a building program that reflects the Boston Public Library's Compass Principles and supports the needs of the neighborhood.,Public Facilities Department,In Design,West End,19700000,0,12300000,0,0,0,0,0,0,66094,250000,250000,31433906,0,0,0,0,0,0,0,0,0,32000000
33,CPS25327,Boston Public Schools,ARP 2024: Design Services,"Replace the roof at the O'Donnell and Kenny and Windows and Doors at the Adams, Murphy, Gardner Pilot, Everett, and Lyndon K-8 as part of the MSBA Accelerated Repair Program.",Public Facilities Department,In Construction,Multiple Neighborhoods,593700,0,0,0,0,0,906300,0,0,0,200000,200000,193700,0,0,0,0,0,600000,300000,6300,0,1500000
34,CPS25306,Boston Public Schools,Bathroom Improvements at Various Schools,"Bathroom renovations at Boston Collaborative High School and Condon K-8. Future bathroom renovations may include Tynan, JFK, TechBoston, Russell, and others.",Boston Public Schools,Annual Program,Multiple Neighborhoods,26000000,1000000,0,0,0,0,0,0,0,1864745,2700000,4000000,18435255,0,0,0,0,0,0,0,0,0,27000000
35,CPS24887,Boston Public Schools,Blackstone School Study,Study and design of major renovations to the Blackstone School.,Public Facilities Department,To Be Scheduled,South End,500000,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,500000
36,CPS25007,Boston Public Schools,BPS: Capital Maintenance,"Core maintenance work in various schools, including electrical, HVAC, masonry, and window repairs.",Boston Public Schools,Annual Program,Citywide,18000000,4000000,0,0,0,0,0,0,0,1746047,250000,500000,19503953,0,0,0,0,0,0,0,0,0,22000000
37,CPS24683,Boston Public Schools,BPS: MSBA ARP Reserve,Reserve for future MSBA Accelerated Repair Program projects.,Boston Public Schools,Annual Program,Citywide,0,0,50000000,0,0,0,0,0,0,0,0,8000000,42000000,0,0,0,0,0,0,0,0,0,50000000
38,CPS25367,Boston Public Schools,Brighton High School Renovation,"Renovations and upgrades to accommodate increased student enrollment from closure and reconfiguration of other neighborhood schools. Upgrades may include auditorium, bathroom, HVAC, and roof replacement.",Public Facilities Department,In Design,Allston / Brighton,2000000,500000,7500000,0,0,0,0,0,0,0,0,2500000,7500000,0,0,0,0,0,0,0,0,0,10000000
39,CPS25235,Boston Public Schools,Building Envelope Repairs at Various Schools,Envelope repairs at East Boston High School and TechBoston Academy to improve energy efficiency and keep the structure in a state of good repair. Future envelope repairs may include Boston Latin Academy and others.,Public Facilities Department,Annual Program,Citywide,9400000,600000,0,0,0,0,0,0,0,0,1000000,1000000,8000000,0,0,0,0,0,0,0,0,0,10000000
40,CPS25233,Boston Public Schools,Door Alarms Upgrades at 6 Schools,"Safety and security upgrades to the door alarms at the Charlestown High School, Curley, Blackstone, Condon, Higginson-Lewis, and Harvard Kent Schools.",Boston Public Schools,In Design,Multiple Neighborhoods,1200000,0,0,0,0,0,0,0,0,0,0,600000,600000,0,0,0,0,0,0,0,0,0,1200000
41,CPS25366,Boston Public Schools,Dorchester Field House Site Improvements,"Exterior ground improvements to the new Dorchester Field House, adjacent to Ruth Batson Academy.",Public Facilities Department,In Design,Dorchester,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,2000000
42,CPS24979,Boston Public Schools,Drinking Water Upgrades at Various Schools,"Upgrade plumbing and install new drinking water fountain fixtures. Project will bring safe drinking water to approximately 10 schools each year, with final package estimated to be complete in 2029.",Boston Public Schools,Annual Program,Citywide,10360000,0,0,0,0,0,0,0,0,3611111,700000,720000,5328889,0,0,0,0,0,0,0,0,0,10360000
43,CPS25234,Boston Public Schools,Elevator Upgrades at Various Schools,"General elevator improvements and upgrades at UP Academy Dorchester, UP Academy Holland, Murphy, Curley, and Hennigan Schools, to improve size, speed, and safety.",Boston Public Schools,Annual Program,Citywide,6000000,0,0,0,0,0,0,0,0,129650,174000,337000,5359350,0,0,0,0,0,0,0,0,0,6000000
44,CPS25370,Boston Public Schools,Frederick School Renovation,"Renovation of the Frederick building to accommodate the merger of the Winthrop and Clap Elementary Schools, including a new school yard and interior improvements.",Public Facilities Department,In Construction,Dorchester,5630000,0,0,0,0,0,0,0,0,0,2250000,3380000,0,0,0,0,0,0,0,0,0,0,5630000
45,CPS25260,Boston Public Schools,HVAC Repairs at Various Schools,"HVAC repairs and upgrades at Bates, Lee Pilot Academy, Kenny, and Brighton High School. Future schools may include Lee K-8, Curley, English High School, and Josiah Quincy Elementary School.",Boston Public Schools,Annual Program,Citywide,10000000,0,0,0,0,0,0,0,0,1672131,700000,1700000,5927869,0,0,0,0,0,0,0,0,0,10000000
46,CPS25354,Boston Public Schools,Implementation of Long-Term Facilities Plan at Several Schools,"Improvements at several school buildings as part of implementation of the Long Term Facilities Plan, as well as a strategic reserve for MSBA Core projects.",Boston Public Schools,Implementation Underway,Citywide,224200549,5000000,435449451,0,0,0,0,0,0,0,0,0,664650000,0,0,0,0,0,0,0,0,0,664650000
47,CPS25140,Boston Public Schools,John F. Kennedy School Improvements,"Upgrades and improvements to the JFK School, which may include fire alarm, electrical systems, roof repairs, and accessibility improvements.",Public Facilities Department,In Design,Jamaica Plain,705000,295000,0,0,0,0,0,0,0,120544,200000,500000,179456,0,0,0,0,0,0,0,0,0,1000000
48,CPS25056,Boston Public Schools,Farragut Building Roof,Repair the roof and other masonry at the Farragut Building.,Public Facilities Department,Study Underway,Mission Hill,1892212,0,0,0,0,0,0,0,0,63925,0,500000,1328287,0,0,0,0,0,0,0,0,0,1892212
49,CPS25051,Boston Public Schools,Madison Park Technical Vocational High School Design,Begin major redesign and renovation of Madison Park Technical Vocational HS in partnership with the MSBA.,Public Facilities Department,Study Underway,Roxbury,100000000,0,0,0,0,0,0,0,0,6118547,5000000,5000000,83881453,0,0,0,0,0,0,0,0,0,100000000
50,CPS25043,Boston Public Schools,Mather School Envelope,"Repair roof, masonry, windows, and doors.",Public Facilities Department,In Construction,Dorchester,4420000,0,0,0,0,0,0,0,0,287422,500000,2500000,1132578,0,0,0,0,0,0,0,0,0,4420000
51,CPS24970,Boston Public Schools,Mattahunt School,"Upgrades at the Mattahunt Elementary School, including new play equipment, upgrades to parking area, interior fire safety and accessibility upgrades, and exterior lighting work at the BCYF Center entrance.",Public Facilities Department,In Construction,Mattapan,16000000,0,0,0,0,0,0,0,0,488773,50000,5000000,10461227,0,0,0,0,0,0,0,0,0,16000000
52,CPS25134,Boston Public Schools,Mel King Academy Renovation,Envelope repairs and window replacement at the Mel King. Additional scope may include minor interior renovations.,Public Facilities Department,To Be Scheduled,South End,500000,0,0,0,0,0,0,0,0,276650,0,0,223350,0,0,0,0,0,0,0,0,0,500000
53,CPS25238,Boston Public Schools,Pool Upgrades and Repairs at Various Schools,General pool upgrades and repairs at various schools to keep the assets in a state of good repair.,Boston Public Schools,Annual Program,Citywide,10000000,0,0,0,0,0,0,0,0,704246,300000,500000,8495754,0,0,0,0,0,0,0,0,0,10000000
54,CPS24969,Boston Public Schools,Radiator Covers at Various Schools,"Replace radiator covers at the Guild, O'Donell, Kenny, Conley, and Gardner. Future phases will take place at other schools across the district.",Boston Public Schools,Annual Program,Citywide,3000000,0,0,0,0,0,0,0,0,1367878,800000,832122,0,0,0,0,0,0,0,0,0,0,3000000
55,CPS25319,Boston Public Schools,HVAC Improvements at the Otis and JFK,HVAC improvements and efficiencies at the Otis School and installation of a geothermal heating system at JFK School.,Public Facilities Department,In Construction,Multiple Neighborhoods,23710000,0,0,0,0,0,1482387,0,0,4717450,13000000,5992550,0,0,0,0,0,0,1482387,0,0,0,25192387
56,CPS25353,Boston Public Schools,Roof Repairs at Various Schools,"Roof repairs at Farragut building, Otis, Community Academy, JFK, and English High School. Future phases will take place at other schools across the district.",Public Facilities Department,Annual Program,Citywide,10000000,0,0,0,0,0,0,0,0,0,750000,5000000,4250000,0,0,0,0,0,0,0,0,0,10000000
57,CPS25090,Boston Public Schools,Roxbury Elementary School Study,Develop a building program for the design and construction of a new preK-6 school.,Public Facilities Department,To Be Scheduled,Roxbury,500000,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,500000
58,CPS25252,Boston Public Schools,Ruth Batson Academy,Begin major redesign and renovation of Ruth Batson Academy in partnership with the MSBA.,Public Facilities Department,In Design,Dorchester,1000000,0,0,0,0,0,1500000,0,0,0,500000,500000,0,0,0,0,0,0,0,250000,1250000,0,2500000
59,CPS25313,Boston Public Schools,School Yard Improvements,"Schoolyard improvements at the Umana, Orchard Gardens, Holmes, and Hurley, including new play structures, safety surfacing, and landscaping. Future phases will take place at other schools across the district.",Boston Public Schools,Annual Program,Citywide,6000000,0,0,0,0,0,0,0,0,0,300000,1285000,4415000,0,0,0,0,0,0,0,0,0,6000000
60,CPS25314,Boston Public Schools,Security and Life Safety System Upgrades at Various Schools,"Security-related improvements at Haynes EEC, Madison Park, and Curley, including installing or upgrading PA and fire alarm systems. Future phases will take place at other schools across the district.",Boston Public Schools,Annual Program,Citywide,7200000,0,0,0,0,0,0,0,0,0,400000,1700000,5100000,0,0,0,0,0,0,0,0,0,7200000
61,CPS25172,Boston Public Schools,Security Cameras,Installation of security cameras in multiple schools across the City.,Boston Public Schools,Annual Program,Citywide,25000000,0,0,0,0,0,0,0,0,7369417,500000,1000000,16130583,0,0,0,0,0,0,0,0,0,25000000
62,CPS25255,Boston Public Schools,Shaw-Taylor Elementary School,Redesign and renovation of the Shaw-Taylor Elementary School in partnership with the MSBA.,Public Facilities Department,In Design,Mattapan,870760,0,0,0,0,0,1329240,0,0,0,150000,720760,0,0,0,0,0,0,150000,500000,679240,0,2200000
63,CPS25369,Boston Public Schools,South Boston Education Complex Renovation,"Decarbonization and other interior upgrades to accommodate relocation of another BPS high school, to be determined.",Public Facilities Department,In Design,South Boston,300000,300000,9400000,0,0,0,0,0,5000000,0,500000,3500000,6000000,0,0,0,0,0,0,0,5000000,0,15000000
64,CPS25085,Boston Public Schools,Technology Infrastructure,Upgrades to technology and internet infrastructure at various schools across the district.,Boston Public Schools,Annual Program,Citywide,9177069,2022931,0,0,0,0,0,0,0,3201543,400000,1000000,6598457,0,0,0,0,0,0,0,0,0,11200000
65,CPS25133,Boston Public Schools,White Stadium Renovation,Design and construct a new East Grandstand for BPS athletics including new locker rooms and support facilities.,Public Facilities Department,In Construction,Roxbury,135000000,0,0,0,0,0,0,0,0,10642547,10000000,100000000,14357453,0,0,0,0,0,0,0,0,0,135000000
66,CTD25084,Transportation Department,Accessible Pedestrian Signals,"Purchase and install APS devices for new construction, major reconstructions, and by request as outlined in the City's response to the federal mandate.",Transportation Department,Annual Program,Citywide,1500000,0,0,0,0,0,0,0,0,129834,500000,500000,370166,0,0,0,0,0,0,0,0,0,1500000
67,CTD24815,Transportation Department,Bike Share Network Expansion,"Expand city's bike share network to connect neighborhoods that are further from frequent, reliable rail transit and support strong demand in employment centers and commercial hubs.",Transportation Department,Annual Program,Citywide,750000,0,0,917752,0,0,5732248,0,0,748264,0,0,1736,917752,0,0,0,4886992,845256,0,0,0,7400000
68,CTD25048,Transportation Department,Bikeshare Dock Replacement,"Replace portions of City's bikeshare system, including docks, kiosks and bikes.",Transportation Department,Annual Program,Citywide,0,0,0,0,0,0,2271100,0,0,0,0,0,0,0,0,0,0,1771100,500000,0,0,0,2271100
69,CTD24837,Transportation Department,Blossom Street,"Upgrades to Blossom Street including upgraded lighting, geometric changes for pedestrian safety, roadway resurfacing, and pavement markings including bicyclist accommodations.",Public Works Department,In Design,West End,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,0,0,0,4750000,6750000
70,CTD25064,Transportation Department,Blue Hill Avenue Multimodal Corridor,"On Blue Hill Avenue, the creation of center-running dedicated bus lanes, redesigned Mattapan Square for improved bus connection to the MBTA station, protected bike lanes, signal changes, and sidewalks.",Transportation Department,In Design,Multiple Neighborhoods,18224000,0,0,0,0,0,0,0,0,374,0,0,18223626,0,0,0,0,0,0,0,0,26232000,44456000
71,CTD24918,Transportation Department,Boylston Street,Redesign and reconstruct Boylston Street from Ipswich Street south to Park Drive and the Muddy River Crossing to improve usage by all road users.,Transportation Department,In Design,Fenway / Kenmore,0,0,0,0,0,0,1376299,0,0,0,0,0,0,0,0,0,0,793701,0,582598,0,8665052,10041351
72,CTD24816,Transportation Department,Connect Downtown: Public Garden Crossings,Expand the protected bike lanes and improve corners and sidewalks on all sides of the Public Garden.,Transportation Department,In Construction,Multiple Neighborhoods,4250000,0,0,3000000,0,0,250000,0,0,0,0,500000,3750000,0,0,0,3000000,250000,0,0,0,0,7500000
73,CTD24986,Transportation Department,Eagle Square,Design for traffic flow and safety improvements in Eagle Square.,Transportation Department,To Be Scheduled,East Boston,150000,0,0,2000000,0,0,0,0,0,0,0,0,150000,0,0,0,2000000,0,0,0,0,0,2150000
74,CTD24841,Transportation Department,Egleston Square,"Redesign of Egleston Square featuring widened sidewalks, median realignment, new crosswalks, raised crosswalks and neckdowns, traffic signal improvements, and rehabilitation of the sculpture garden.",Transportation Department,In Design,Roxbury,6910000,0,0,1000000,0,0,0,0,0,77793,400000,200000,6232207,1000000,0,0,0,0,0,0,0,0,7910000
